,alpha
0,0.01
1,0.0198989898989899
2,0.029797979797979796
3,0.039696969696969696
4,0.049595959595959596
5,0.059494949494949496
6,0.06939393939393938
7,0.07929292929292929
8,0.08919191919191918
9,0.09909090909090908
10,0.10898989898989898
11,0.11888888888888888
12,0.12878787878787878
13,0.1386868686868687
14,0.1485858585858586
15,0.15848484848484848
16,0.16838383838383839
17,0.1782828282828283
18,0.18818181818181817
19,0.19808080808080808
20,0.207979797979798
21,0.21787878787878787
22,0.22777777777777777
23,0.23767676767676768
24,0.24757575757575756
25,0.25747474747474747
26,0.2673737373737374
27,0.2772727272727273
28,0.2871717171717172
29,0.29707070707070704
30,0.30696969696969695
31,0.31686868686868686
32,0.32676767676767676
33,0.33666666666666667
34,0.3465656565656566
35,0.3564646464646465
36,0.36636363636363634
37,0.37626262626262624
38,0.38616161616161615
39,0.39606060606060606
40,0.40595959595959596
41,0.41585858585858587
42,0.4257575757575757
43,0.43565656565656563
44,0.44555555555555554
45,0.45545454545454545
46,0.46535353535353535
47,0.47525252525252526
48,0.4851515151515151
49,0.495050505050505
50,0.5049494949494949
51,0.5148484848484849
52,0.5247474747474747
53,0.5346464646464646
54,0.5445454545454546
55,0.5544444444444444
56,0.5643434343434344
57,0.5742424242424242
58,0.5841414141414141
59,0.594040404040404
60,0.6039393939393939
61,0.6138383838383838
62,0.6237373737373737
63,0.6336363636363637
64,0.6435353535353535
65,0.6534343434343434
66,0.6633333333333333
67,0.6732323232323232
68,0.6831313131313131
69,0.693030303030303
70,0.702929292929293
71,0.7128282828282828
72,0.7227272727272727
73,0.7326262626262626
74,0.7425252525252525
75,0.7524242424242424
76,0.7623232323232323
77,0.7722222222222221
78,0.7821212121212121
79,0.792020202020202
80,0.8019191919191919
81,0.8118181818181818
82,0.8217171717171717
83,0.8316161616161616
84,0.8415151515151514
85,0.8514141414141414
86,0.8613131313131313
87,0.8712121212121212
88,0.8811111111111111
89,0.891010101010101
90,0.9009090909090909
91,0.9108080808080807
92,0.9207070707070707
93,0.9306060606060605
94,0.9405050505050505
95,0.9504040404040404
96,0.9603030303030302
97,0.9702020202020202
98,0.98010101010101
99,0.99
