,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_monotonic,quant_tracking_proj
0.01,118.22646369067813,117.36145963057506,115.90060335331249,112.0921928235871,118.63545903715708
0.02,110.72941203200519,109.61013895552057,110.25836671872126,107.639283737217,110.86147229550788
0.03,105.05511028439814,104.34934800562561,107.3249677376354,100.07388759175684,105.7176020877763
0.04,100.6237292055909,100.94267157582165,104.59961453115982,97.71628330514334,101.32275948270382
0.05,97.43519764652652,96.5534635095695,102.73730457825745,92.72690984386361,97.3613973387181
0.06,93.01786850653141,93.66884372670532,99.76315505286998,89.45580460597614,93.87933231540335
0.07,91.09008045511753,90.26793132250813,97.56888335536277,86.88678489302073,90.5286006376902
0.08,87.72225327172131,87.54130000244311,95.54293050337728,85.3830516522806,87.62570021421261
0.09,85.15595579305575,84.72628923415309,93.30125259802608,84.29289792133994,85.03010544128063
0.1,83.34954803335198,82.53433712013563,90.9643986654594,82.99259563103824,82.89344196315675
0.11,80.4197855955988,80.42615729283224,89.6659104554799,82.13874067470891,81.00550403171913
0.12,79.52828356339437,79.29109701243316,88.21781085992443,80.57118680205168,79.34650477972552
0.13,77.8417975397272,78.0864055405379,86.15938829503527,78.45782589199496,77.70516524013448
0.14,76.28732859183343,75.99876915066676,84.67038153781107,76.91578413764343,76.13464732247307
0.15,74.63312645290628,74.64317501270645,83.29312010211117,75.73796339899471,74.6852315139979
0.16,73.04640919480416,73.06529591130192,81.88107080967164,74.44247325790242,73.26209433880435
0.17,71.47683885950366,71.61266795145599,80.30005707941946,73.8308125658752,71.45834388479113
0.18,70.53492772021997,70.51250901866186,78.73730177017475,72.84594672208617,70.04719803216483
0.19,68.88976151156629,68.90137211188,77.49155544043936,71.78802023740762,68.99155875276601
0.2,68.041144573634,67.48250019425288,76.2106091861676,70.15089537676877,67.79753350437821
0.21,66.81127541229421,66.6221472229174,75.15168444494267,69.47707070825184,66.89777308906945
0.22,66.13992635056263,65.66802832769639,73.87965563074206,68.74291107798042,65.8981935960931
0.23,65.14118490178109,64.71662861299104,72.77089252241534,68.00821973092924,65.01929977120336
0.24,64.36713217587275,63.829966707312224,71.63569530116206,67.04098743043784,64.16803188332598
0.25,63.65008763210682,63.261230013039466,70.73008155050435,66.53412705803524,63.435426085153445
0.26,62.76004415557644,62.609992375548146,69.806835144933,65.5765113394437,62.66479243801899
0.27,62.611284919530455,62.12974213902992,68.53704142689557,64.89948418656394,62.00753207966132
0.28,61.52020978166874,60.96385084308792,67.61856326576005,64.15429429326642,61.35015072904796
0.29,60.90962201485029,60.4811073663443,66.58939707433343,63.40162656514143,60.750684313246744
0.3,60.27260237325457,60.0220646616846,65.6280876416737,62.886742781482134,60.163497906640416
0.31,59.859310942260414,59.399201299855356,64.68663319507695,62.223464586879174,59.57618413204536
0.32,59.17757411816659,58.82039436470151,63.9350709122021,61.638007287314366,59.01097291787161
0.33,58.65832395362417,58.479133268543414,63.35339202868815,61.1272635017487,58.4764804108659
0.34,58.156113988299474,57.8964874125866,62.638230784403305,60.49946076841665,57.944876867398214
0.35,57.57023273162084,57.402804046721,61.62806306248527,59.91624894233638,57.41370038356567
0.36,56.74436570475102,56.933434537178876,60.76255873769387,58.90994230905047,56.90668328459478
0.37,56.64432578567513,56.53110184431407,59.95487394322988,58.36077077834914,56.4394458929624
0.38,55.926712049449705,56.08947667965121,59.00704642656864,57.835325433003064,55.99281762510313
0.39,55.76349176751283,55.461591920207994,58.24793372025638,57.19449412298872,55.565652302502464
0.4,55.42652548770987,55.17025247650177,57.550386274152764,56.432770085075035,55.145760342651094
0.41,54.78642864938603,54.73451969543611,56.75253610350087,55.76385080025643,54.693527558525105
0.42,54.06975763816946,54.41135526825601,55.69160453655031,55.24347504727005,54.18965405417136
0.43,53.728824798424974,53.85763890647007,54.85102132364941,54.48569521116994,53.69466104257574
0.44,53.16681405045964,53.40975191085261,53.96884737223147,54.02487337954079,53.15572077462068
0.45,52.45174389303391,52.89551066267148,53.30685738230381,53.562700910023906,52.64401224181981
0.46,52.174293799639926,52.42880982726326,52.72520837644847,52.886996969382515,52.162522967628334
0.47,51.85927700400753,51.877330069257745,51.71130726178066,52.13418577368707,51.69072105155019
0.48,51.369304676533396,51.56724949720945,50.99490683838631,51.681132801922594,51.23840270504525
0.49,50.73747891611915,50.97600013054939,50.601347371470474,51.1310898223291,50.828947009964615
0.5,50.4256282535339,50.66341751552815,49.73679409516509,50.668342683658686,50.41356401393368
0.5,49.911411884794866,50.194597981050514,49.258154777958964,50.2067281205179,50.02484158605581
0.51,49.593424616018844,49.7077581185523,48.467299870110395,49.60354662216389,49.61616555704703
0.52,49.310069150873126,49.26011470596253,47.90127391067175,48.98200429504735,49.203265526339905
0.53,48.84398511937915,48.814235705939254,47.26392324656375,48.46714215313129,48.783666200771684
0.54,48.26971894630088,48.321118276398785,46.68417837380099,47.88473546002577,48.37256951719751
0.55,48.1473204359738,47.9933119160046,45.84950781715177,47.34391702305926,47.95491069125171
0.56,47.35475116791099,47.47728278134226,44.98225819947425,46.898444270105884,47.5399458465791
0.57,47.01042096067892,46.992039148391825,44.32251270014514,46.447582424966846,47.09501955644798
0.58,46.73192141869269,46.703747397066806,43.66661683282876,45.982642770641164,46.64613505330678
0.59,46.173059016512234,46.31288642640044,42.77084327814231,45.40183535847935,46.20962176997602
0.6,45.95042927175068,46.00044115697944,41.74422843260985,44.76534177409812,45.795604265999216
0.61,44.89604926017839,45.396388735181894,40.86674942299185,44.02571561116576,45.3519372611343
0.62,44.50163011662698,44.74851729982639,40.581491557792866,43.61262849323455,44.874398498024775
0.63,44.17298827652335,44.31356409014212,39.90340351433303,43.015396268842295,44.31944406122859
0.64,43.785008122655476,43.71292765508056,39.359861221667686,42.35947184057481,43.74892471207286
0.65,42.9400019993794,43.170437109938746,38.69603957869067,41.62816748357312,43.143388740080404
0.66,42.35798057905711,42.51108341144046,38.046353161465184,41.03741556200882,42.54058078619513
0.67,41.73150878520191,42.04634110222068,37.555989406796215,40.453325658091956,41.973755929495624
0.68,41.24395552567552,41.337762820561366,37.060068625811176,39.356603422563325,41.44520096825494
0.69,41.02520340453537,40.82883465163455,36.5536348310477,38.792611213414986,40.90043332997194
0.7,39.92920119445779,40.28447016480253,35.949470834595594,37.976341429420046,40.33037788424784
0.71,39.178467572072336,39.55754993885609,35.48255330729465,37.312553059656736,39.722756768537
0.72,38.93881541535807,39.043180868829864,35.08811439028311,36.69117283440084,39.076794322634704
0.73,38.19638844540738,38.42556407961156,34.29321473654446,36.082585767821634,38.37546262484456
0.74,37.14649082444626,37.82264867214171,33.64135953741518,35.2601917494085,37.615803693117776
0.75,36.40219619174207,36.79466404756952,33.15276455651507,34.42031284765726,36.79929161916547
0.76,35.25509117127807,35.95556581647828,32.47856867219088,33.59296243526815,35.87415879380218
0.77,34.71058309140375,35.12221569756149,31.960516842394643,32.828305295663384,34.928008582832206
0.78,33.849105961368785,34.09337548234262,30.6668674534589,32.32144943305532,33.99771626561826
0.79,32.28748653322044,32.861618365882514,30.025229799634367,31.407242822786692,32.94230162782124
0.8,31.435294355160067,31.700265369986546,29.511065542680445,30.568132914867185,32.01420836763733
0.81,30.55898264668399,30.671827091750483,28.791840784087427,29.978518177002076,30.980866827913232
0.82,29.777281397118145,29.86064173605187,28.15085330327644,29.0442794769163,30.053735508641502
0.83,28.573879685085238,29.057347347633836,27.43448333342651,27.83189052634647,29.02890176190665
0.84,27.35301087949122,27.54524277667678,26.314498205129702,27.24381446634966,27.9278696968711
0.85,26.063910127969088,26.10390198965101,25.591370943812937,25.72377030727634,26.746781746322522
0.86,25.00698653760087,25.176928011988572,24.385549124495643,24.68037595090949,25.566467382659496
0.87,24.061891478002703,24.316586569804986,23.79736264158913,23.44038285381136,24.225947607666185
0.88,22.7901510964574,23.186565592901797,22.779457249637336,22.116306141792364,22.89664149834095
0.89,21.104874606763225,22.214992105225235,21.927743009937558,20.899818063883117,21.50443698763818
0.9,20.597862080074034,20.604625840380173,20.81479048415409,19.752599230224064,19.839649640730123
0.91,18.30700038938556,18.945691186559934,20.05404112959596,18.523183324259225,18.30375455180033
0.92,16.550788289588265,17.322646697616854,15.925502673851689,17.217089445122664,16.327463950272495
0.93,14.870332148526604,15.798413349264523,14.882088634103956,16.339339368508718,14.690307457435896
0.94,12.789128942361502,13.376389298605698,13.464819432420565,15.286892670833229,12.511342548339641
0.95,10.079857433103712,10.83536998531736,11.773676190192559,14.100440469288111,10.2785138719657
0.96,7.705751345403742,8.487345954420535,10.096308446679913,12.545524333955646,8.040100499712038
0.97,5.588760163429326,6.105360864440298,8.041474726407117,9.978542971461078,5.598587694802042
0.98,2.560900962957856,3.325755611154203,5.871030591634618,8.031786722367702,2.7692249429865115
0.99,0.3091852030079502,0.2796493551058394,3.388626578233821,2.953164358205439,0.8809380955508512
